Customer_ID,Age,Gender,Tenure,Balance,CreditScore,EstimatedSalary,NumOfProducts,IsActiveMember,Churn
94,62,,8,162160,676,93801,2,,1
95,35,,6,15409,371,22733,2,,1
96,64,,6,152074,374,12344,1,,0
97,70,,6,174565,780,96548,2,,1
98,41,,5,175948,639,74184,3,,1
99,43,,7,76873,801,131183,2,,0
100,42,,8,138023,743,63365,4,,0
101,62,,5,106969,645,23796,2,,0
102,58,,8,58336,768,35208,1,,0
103,46,,6,150615,798,93946,3,,0
104,32,,10,167630,803,148646,4,,1
105,62,,0,161970,350,22087,3,,1
106,18,,0,158453,568,43579,2,,1
107,42,,8,38496,355,59603,3,,0
108,24,,10,141766,624,133299,1,,0
109,26,,8,192476,839,67964,2,,1
110,41,,4,82469,689,130224,2,,0
111,18,,2,141586,398,123593,4,,1
112,61,,6,114194,400,93236,3,,0
113,25,,10,125724,620,148909,1,,0
114,41,,0,24978,646,38605,4,,1
115,28,,5,173132,654,10908,3,,1
116,68,,2,108968,308,66406,4,,1
117,34,,4,47250,651,12480,2,,0
118,25,,3,108580,750,55058,4,,0
119,52,,1,29819,666,32704,1,,0
120,52,,7,110120,723,75404,1,,0
121,50,,8,147201,845,149653,4,,0
122,22,,7,146398,387,26845,1,,1
123,59,,5,133556,447,95621,3,,0
124,56,,10,108068,546,146438,3,,0
125,58,,10,199930,621,129158,2,,1
126,45,,4,57357,526,45218,3,,0
127,24,,1,154832,781,41549,3,,0
128,26,,10,84097,598,128631,3,,0
129,25,,5,152317,518,87191,4,,0
130,29,,9,122546,834,88790,4,,1
131,51,,4,99289,459,12770,2,,1
132,50,,1,193811,439,145202,1,,1
133,65,,3,21060,661,132243,3,,0
134,40,,5,128355,846,95306,2,,1
135,41,,2,22725,767,113130,1,,0
136,54,,9,197904,348,59058,2,,1
137,52,,0,168434,302,61613,1,,1
138,61,,0,160467,815,42360,4,,0
139,57,,3,64932,437,90527,2,,1
140,39,,7,2365,586,140330,4,,0
141,44,,8,65498,872,29385,4,,0
142,52,,7,80682,502,76345,1,,0
143,18,,5,16339,676,48615,1,,0
144,52,,1,21184,533,138234,1,,0
145,54,,6,179840,677,138809,4,,1
146,64,,10,12934,705,77510,4,,0
147,31,,0,124125,715,90767,1,,1
148,20,,1,86375,675,21580,4,,1
149,18,,4,155794,594,86323,1,,1
150,22,,0,62624,683,96410,3,,0
151,43,,10,13325,474,81854,3,,0
152,31,,1,172504,662,27636,2,,1
153,56,,10,28844,705,117412,3,,0
154,44,,8,146744,565,88929,2,,1
155,26,,3,142884,864,99580,3,,1
156,32,,1,3847,525,104882,1,,1
157,32,,5,199708,463,44421,2,,0
158,43,,5,74202,724,66445,3,,0
159,59,,4,97222,401,122026,2,,0
160,30,,7,127908,874,26872,3,,1
161,68,,1,80841,321,116851,4,,1
162,49,,0,92979,734,148058,1,,1
163,56,,7,31695,722,93107,2,,0
164,66,,1,21669,608,110996,1,,0
165,69,,6,146170,531,147352,1,,1
166,49,,9,66324,623,22934,1,,0
167,21,,0,51998,787,138673,1,,0
168,47,,7,13060,472,142266,2,,1
169,54,,4,34441,829,98417,2,,0
170,40,,9,83052,342,68412,2,,0
171,56,,3,84618,323,71683,2,,1
172,62,,4,23949,605,42019,1,,0
173,32,,5,43868,687,55931,1,,0
174,60,,5,39349,803,143554,4,,0
175,46,,2,131960,696,64845,4,,1
176,53,,8,46471,652,138659,4,,0
177,30,,2,29809,564,64303,4,,1
178,49,,5,13420,874,140107,1,,0
179,24,,6,92991,610,50334,3,,0
180,68,,10,143434,637,147775,3,,1
181,39,,8,42379,767,33927,4,,0
182,45,,9,29120,487,61109,4,,0
183,19,,0,6508,349,26747,4,,1
184,59,,9,728,544,76456,1,,0
185,62,,6,8069,377,69222,4,,0
186,70,,0,136409,357,136588,2,,1
187,23,,0,179755,415,105204,2,,1
188,45,,4,86571,719,29168,4,,0
189,45,,3,193052,454,10051,1,,0
190,61,,8,49242,731,100024,2,,0
191,61,,3,169657,654,74089,2,,0
192,37,,3,124015,451,132488,2,,1
193,47,,3,33106,841,47856,3,,0
194,28,,3,110235,682,139677,3,,1
195,45,,8,82070,564,23193,3,,0
196,42,,1,6096,677,101711,1,,1
197,56,,7,175354,393,18362,2,,1
198,50,,3,36196,766,143055,3,,0
199,18,,4,154100,584,56047,3,,0
200,44,,8,170200,334,95485,1,,1
201,69,,0,168507,577,109884,2,,0
202,30,,0,141955,329,140802,4,,1
203,58,,1,73579,615,45551,2,,1
204,20,,5,153913,689,109134,2,,0
205,56,,10,157447,615,79472,3,,0
206,23,,1,32470,500,44049,2,,0
207,25,,7,82732,355,73141,4,,0
208,44,,7,61547,820,45297,1,,0
209,26,,3,29822,635,140837,2,,0
210,54,,2,6712,306,141057,4,,1
211,50,,4,140330,358,90682,3,,0
212,68,,5,69472,438,11138,2,,0
213,59,,8,57433,426,92047,3,,1
214,61,,9,151969,494,14351,2,,1
215,41,,6,128459,327,43814,4,,1
216,32,,10,924,572,93511,4,,0
217,49,,2,90961,809,38398,1,,1
218,49,,8,83138,519,119927,1,,0
219,41,,5,125274,871,31250,4,,0
220,58,,10,46594,566,120786,2,,0
221,69,,1,130925,674,39661,4,,0
222,66,,1,139806,829,66539,4,,0
223,66,,4,128319,547,43884,1,,1
224,69,,1,156017,386,100894,3,,1
225,29,,0,20019,568,128789,1,,0
226,56,,7,13522,537,134179,1,,0
227,19,,5,165063,371,26109,4,,0
228,20,,1,19097,772,59601,4,,1
229,66,,9,16909,719,14011,4,,0
230,54,,8,198616,595,17052,2,,0
231,66,,10,181314,763,120378,3,,0
232,34,,8,151620,450,15903,4,,0
233,66,,7,77390,511,144270,4,,0
234,19,,6,12224,652,115774,3,,0
235,19,,0,146860,625,30678,4,,0
236,45,,8,196900,633,56150,2,,1
237,40,,10,132726,732,31808,2,,0
238,54,,2,42375,847,147554,1,,1
239,49,,2,195308,488,146784,3,,1
240,50,,10,132056,583,137038,4,,0
241,18,,1,15445,521,121329,3,,0
242,36,,5,162003,793,107700,3,,1
243,19,,8,11620,324,113482,3,,0
244,70,,7,67954,635,15277,3,,0
245,61,,2,161821,834,72396,1,,1
246,43,,3,188185,779,66766,3,,0
247,49,,7,173213,335,96189,3,,0
248,23,,2,133923,722,121462,3,,1
249,49,,3,187432,363,24465,4,,1
250,21,,8,194301,430,85476,3,,0
251,28,,8,45763,386,23345,3,,0
252,34,,8,23012,341,117388,1,,1
253,55,,10,112787,465,108798,2,,0
254,41,,9,189140,517,83715,3,,0
255,22,,6,95815,630,84561,1,,0
256,69,,10,26780,638,11428,4,,0
257,51,,1,64269,456,31268,3,,1
258,23,,4,101338,350,99316,3,,1
259,39,,9,174032,771,33359,2,,0
260,28,,6,58127,308,119596,1,,1
261,65,,3,36573,879,14323,2,,0
262,33,,8,93059,781,97076,4,,0
263,50,,10,121564,900,99619,1,,1
264,26,,7,117376,631,149326,1,,0
265,23,,7,168858,557,11108,2,,0
266,33,,9,198212,643,146405,1,,0
267,46,,8,41496,459,76189,3,,0
268,20,,8,6214,609,114313,3,,0
269,37,,1,110388,575,140528,1,,0
270,53,,4,164876,394,86008,2,,1
271,36,,0,40398,662,91096,4,,1
272,43,,4,165707,434,63024,1,,0
273,20,,7,33698,627,121782,2,,0
274,36,,6,180454,464,36795,1,,1
275,37,,7,182134,345,55335,3,,0
276,49,,7,8953,656,28169,2,,0
277,24,,4,7661,619,118884,1,,0
278,69,,5,54735,652,39054,1,,0
279,58,,10,18765,668,52978,1,,0
280,50,,1,114378,322,55430,2,,1
281,57,,3,105329,796,98896,3,,1
282,56,,2,132219,303,63138,4,,1
283,35,,9,180842,317,20059,3,,0
284,57,,4,142464,512,11347,2,,1
285,18,,4,64307,538,22497,2,,0
286,28,,8,61660,690,133390,1,,0
287,45,,10,97999,415,141601,4,,0
288,42,,6,67225,701,80701,3,,0
289,67,,0,148644,740,129842,2,,1
290,40,,6,68857,708,18482,4,,0
291,48,,0,150716,365,77778,3,,1
292,47,,8,131808,521,59879,4,,1
293,59,,6,180935,367,45680,2,,0
294,52,,7,88080,325,119786,4,,0
295,24,,8,71785,419,66714,4,,0
296,33,,1,55622,859,127557,1,,1
297,43,,3,73270,337,43038,2,,0
298,65,,10,88708,823,34685,2,,0
299,69,,6,56451,735,123473,4,,0
300,66,,10,113460,461,40233,3,,0
301,19,,8,24903,782,115300,4,,0
302,18,,6,3078,768,63822,3,,0
303,65,,1,5733,390,25102,3,,1
304,29,,9,168240,819,50739,3,,1
305,22,,1,92515,627,26982,1,,0
306,54,,10,190492,707,58873,4,,0
307,49,,8,196008,618,97474,4,,0
308,26,,5,131721,888,34601,1,,1
309,58,,5,115010,718,108441,3,,1
310,52,,2,164775,452,95741,2,,1
311,36,,5,7874,687,44181,3,,0
312,65,,9,39644,443,134014,1,,0
313,33,,2,120560,437,21591,3,,1
314,20,,3,183590,468,23132,1,,1
315,37,,4,54578,497,57878,3,,0
316,41,,0,121730,389,11072,2,,1
317,50,,2,177301,654,57708,1,,1
318,41,,2,66454,700,29459,4,,1
319,69,,1,71859,840,129539,1,,0
320,28,,4,144979,867,12347,3,,1
321,66,,6,89273,471,89516,2,,1
322,25,,1,42444,791,130707,4,,1
323,53,,0,24745,345,144019,2,,1
324,55,,1,43121,553,62363,2,,0
325,57,,10,197519,404,90856,4,,0
326,37,,4,197662,751,17355,4,,1
327,52,,10,59892,341,128965,2,,1
328,65,,5,190133,890,104277,3,,0
329,42,,9,156495,519,49191,2,,1
330,52,,7,13098,426,99852,4,,1
331,42,,10,60894,697,137839,4,,0
332,46,,8,9806,806,90825,4,,0
333,35,,4,151180,335,15678,1,,0
334,63,,3,12001,321,30294,3,,1
335,35,,1,194994,409,32121,4,,1
336,19,,10,51691,492,40181,2,,0
337,52,,8,179353,667,130020,1,,0
338,33,,2,187571,458,107258,2,,1
339,58,,0,40255,837,113035,3,,0
340,53,,8,159032,899,30150,1,,1
341,50,,1,117859,447,18272,4,,1
342,21,,7,162968,358,122246,2,,0
343,50,,3,126242,758,147852,4,,0
344,31,,7,141268,362,142823,1,,0
345,38,,8,32157,826,115664,1,,0
346,65,,2,37536,820,108942,4,,0
347,37,,4,145812,729,85888,1,,1
348,25,,7,8127,825,131023,1,,0
349,24,,7,179941,738,82181,1,,1
350,20,,3,91478,370,133486,2,,0
351,34,,1,112080,357,34065,4,,1
352,50,,5,18868,412,29042,2,,1
353,65,,5,100092,452,145768,4,,1
354,29,,6,135007,461,29759,3,,1
355,68,,4,183643,866,103755,1,,0
356,39,,0,164911,683,34467,1,,1
357,39,,0,165146,432,93152,3,,1
358,63,,0,20587,781,20187,4,,0
359,47,,3,74212,785,21571,2,,0
360,55,,6,78984,831,144481,4,,0
361,55,,7,56597,584,57539,4,,0
362,62,,0,97611,785,79323,1,,0
363,68,,4,42940,669,147465,1,,0
364,25,,4,152639,345,83772,3,,0
365,44,,6,129998,739,147655,3,,1
366,44,,0,130052,889,83687,1,,0
367,51,,7,135477,317,17583,2,,1
368,38,,3,35527,764,71425,2,,0
369,47,,10,128041,626,128095,1,,1
370,50,,7,89031,876,27826,4,,0
371,45,,7,25378,466,13206,4,,0
372,64,,1,127815,547,42910,1,,0
373,50,,3,35194,494,26741,2,,0
374,22,,2,185209,749,81545,2,,0
375,65,,1,123660,557,53259,4,,1
376,36,,3,110459,693,60532,3,,0
377,21,,3,58518,444,71547,3,,1
378,52,,4,42811,634,120540,2,,0
379,66,,3,145044,806,15990,2,,1
380,34,,6,78946,831,136501,3,,0
381,61,,0,177443,454,37608,1,,1
382,45,,0,162606,374,51903,4,,1
383,47,,10,159965,551,37413,2,,0
384,46,,2,71489,602,32805,1,,0
385,63,,5,24578,579,99906,2,,0
386,70,,5,35558,549,38178,2,,0
387,23,,4,69228,726,123211,3,,0
388,52,,5,51388,531,12422,1,,0
389,58,,5,142366,518,126157,3,,0
390,54,,8,147154,632,67025,4,,1
391,41,,10,168016,455,48050,3,,1
392,46,,0,182952,861,29933,1,,1
393,66,,7,170140,345,62365,3,,0
394,63,,5,46945,574,102891,2,,0
395,70,,5,193560,461,117180,3,,1
396,48,,9,172227,391,76799,1,,1
397,52,,5,4447,313,96121,3,,0
398,50,,6,187881,615,81148,1,,1
399,69,,10,115100,334,83625,4,,1
400,38,,6,353,371,121697,3,,0
401,49,,4,167370,773,135903,4,,1
402,40,,6,15805,857,67610,4,,0
403,50,,10,124882,813,27019,3,,1
404,20,,1,173487,572,29045,1,,1
405,35,,2,86755,665,92570,4,,1
406,42,,9,1919,731,55293,2,,0
407,59,,1,127979,372,136355,2,,1
408,48,,8,68150,387,29819,3,,1
409,20,,0,103924,749,88143,1,,1
410,57,,4,124439,503,81561,3,,0
411,63,,4,129467,890,141183,2,,1
412,41,,0,29669,729,45122,4,,1
413,67,,0,99042,451,133467,4,,1
414,49,,5,195018,716,20611,2,,1
415,64,,10,186328,466,138816,3,,0
416,39,,2,101977,515,87517,3,,0
417,40,,10,160398,869,126295,1,,0
418,19,,7,54204,436,107857,4,,0
419,44,,0,87070,753,137180,2,,1
420,59,,2,187800,699,29012,2,,1
421,19,,8,164028,831,31902,4,,1
422,43,,7,137119,428,139087,3,,0
423,34,,0,11403,399,57515,3,,1
424,57,,0,44936,572,88695,2,,1
425,50,,6,12733,610,122760,4,,0
426,26,,3,19385,547,91802,1,,0
427,60,,0,141890,862,72779,1,,1
428,65,,9,118923,556,135200,3,,1
429,56,,2,158395,650,136914,2,,0
430,46,,8,121428,821,106928,1,,1
431,59,,6,14264,835,41338,2,,0
432,43,,6,124125,607,43571,3,,0
433,52,,3,156897,680,77341,3,,1
434,67,,1,151809,475,149373,2,,1
435,42,,3,181190,483,51689,3,,1
436,41,,8,31845,318,59716,1,,0
437,30,,7,39758,677,133196,1,,0
438,24,,5,45284,456,36769,1,,1
439,53,,4,122233,748,31925,4,,1
440,62,,1,135105,436,45707,3,,1
441,37,,8,58993,451,48184,3,,1
442,18,,10,96442,847,23125,1,,0
443,25,,10,166379,825,17307,1,,0
444,63,,1,82183,626,144341,4,,0
445,33,,7,3307,625,15167,4,,0
446,31,,4,186588,712,70074,3,,0
447,29,,2,111569,345,11969,1,,1
448,68,,5,21159,382,105949,3,,0
449,40,,2,89292,536,127140,2,,1
450,32,,4,40109,675,40872,4,,0
451,45,,2,82789,465,80311,2,,1
452,51,,6,79078,771,108319,3,,0
453,19,,10,97972,794,64362,2,,0
454,49,,3,121974,431,31080,4,,0
455,40,,7,142197,495,117828,3,,0
456,39,,7,128253,544,53324,3,,1
457,68,,10,110731,738,63110,4,,0
458,42,,0,159247,550,126659,4,,1
459,39,,2,190577,654,100999,4,,1
460,39,,0,51056,563,144423,2,,1
461,66,,5,161083,454,108810,2,,0
462,69,,7,84800,771,30714,4,,0
463,59,,6,101254,664,90045,1,,1
464,23,,0,119481,563,15403,3,,0
465,32,,1,139615,630,12586,4,,0
466,60,,9,169320,796,99308,4,,0
467,54,,3,51023,468,124231,4,,1
468,50,,7,176958,352,69472,3,,1
469,25,,2,7889,400,10595,2,,1
470,70,,0,68912,880,23904,1,,0
471,61,,6,153382,617,50433,3,,0
472,61,,4,70183,806,22813,4,,0
473,22,,2,72268,807,32064,2,,1
474,56,,0,182347,817,53802,1,,1
475,21,,7,129447,595,79720,2,,1
476,23,,10,6403,338,50873,3,,1
477,62,,2,126160,847,96610,3,,1
478,49,,8,157870,416,138223,2,,1
479,69,,5,156320,616,69765,3,,1
480,47,,7,71434,752,35367,3,,0
481,64,,1,60005,508,29861,1,,0
482,52,,6,20062,652,125497,4,,0
483,57,,6,134128,495,107957,3,,0
484,69,,6,176070,311,96275,4,,1
485,33,,6,148376,424,138890,3,,0
486,30,,2,127640,383,96209,1,,1
487,67,,9,170054,656,10563,2,,1
488,59,,0,38648,587,93044,4,,1
489,47,,5,103785,590,39021,2,,0
490,36,,7,82312,389,144926,3,,1
491,34,,3,105206,893,65957,4,,0
492,36,,9,58743,471,30826,1,,0
493,45,,4,133538,610,95997,3,,0
494,43,,2,184614,884,126306,3,,0
495,54,,1,1161,899,14278,1,,1
496,43,,5,123766,589,144789,2,,0
497,70,,5,176513,418,27663,4,,0
498,40,,2,23602,333,113034,3,,1
499,26,,2,134878,678,72960,1,,1
500,29,,5,126515,403,67227,4,,0
501,70,,2,92683,359,106492,4,,1
502,18,,5,153086,628,148435,3,,1
503,18,,2,108842,810,54039,2,,0
504,64,,4,149872,478,35027,3,,1
505,51,,10,166192,522,12717,2,,1
506,49,,3,122855,822,113470,4,,1
507,65,,4,60987,629,146548,3,,0
508,42,,6,89586,871,126388,3,,0
509,57,,0,96694,768,41055,2,,0
510,62,,10,5329,589,73916,3,,0
511,70,,9,141285,302,55285,1,,0
512,18,,4,126015,409,38690,3,,1
513,33,,0,118909,618,38085,1,,0
514,56,,9,31618,609,33773,3,,0
515,22,,9,157723,544,72287,1,,1
516,39,,5,142747,574,23595,1,,0
517,46,,9,72722,389,36846,1,,0
518,20,,6,43871,589,96931,3,,0
519,29,,10,131459,454,70861,4,,0
520,43,,10,198229,870,25524,2,,1
521,33,,9,136730,412,105363,3,,1
522,68,,10,22112,539,139133,3,,0
523,54,,10,151992,878,119310,2,,1
524,39,,5,115756,869,75280,1,,1
525,46,,7,7490,403,80863,4,,1
526,31,,6,39027,424,24707,3,,1
527,45,,8,182618,639,125556,3,,1
528,22,,1,73516,881,134717,4,,0
529,64,,2,140471,629,114540,1,,1
530,66,,8,159151,666,140877,1,,1
531,47,,3,70001,748,41640,1,,0
532,63,,1,707,572,65695,3,,1
533,69,,4,100705,894,137392,3,,1
534,22,,8,16068,752,148450,3,,0
535,29,,9,59160,498,43515,2,,1
536,33,,10,53991,368,71029,1,,1
537,43,,1,76779,749,38631,1,,0
538,43,,4,13280,831,85753,3,,0
539,65,,3,3576,822,21311,2,,0
540,38,,10,134602,759,96272,4,,1
541,56,,3,9517,572,105960,2,,0
542,53,,3,73103,672,105609,2,,0
543,50,,10,179305,458,134089,2,,0
544,47,,5,61732,716,142939,1,,0
545,54,,8,48227,494,71022,3,,0
546,40,,7,59998,429,41041,1,,0
547,27,,6,133208,498,96699,2,,0
548,22,,7,140068,365,83456,1,,1
549,53,,0,139262,356,63575,2,,1
550,51,,2,105247,883,18641,3,,0
551,69,,8,128732,689,142567,1,,1
552,48,,1,193791,677,114420,1,,0
553,27,,5,72931,772,29036,4,,0
554,36,,7,9462,398,142450,4,,0
555,49,,2,64024,525,20575,4,,1
556,18,,1,164658,408,69063,3,,1
557,22,,1,190411,674,39962,3,,1
558,62,,5,48921,709,129411,2,,0
559,21,,7,19718,477,57678,2,,1
560,33,,10,70368,631,128967,4,,0
561,41,,5,95573,319,60417,4,,1
562,33,,8,193049,754,20117,4,,1
563,19,,5,120878,682,20122,1,,1
564,66,,5,167764,708,71615,4,,0
565,45,,7,148255,875,131863,2,,0
566,49,,3,155327,827,74186,1,,1
567,44,,7,151843,886,106543,3,,0
568,37,,7,38543,307,133059,3,,0
569,41,,1,9007,527,140800,1,,0
570,29,,4,25910,387,59051,4,,0
571,67,,2,119624,436,39751,2,,1
572,52,,10,69651,785,27717,4,,0
573,50,,10,131982,663,61898,2,,1
574,50,,2,49487,354,93940,4,,1
575,68,,5,61412,733,117794,4,,0
576,60,,2,149532,619,44028,2,,1
577,54,,7,10606,456,127141,4,,0
578,29,,4,45593,775,16904,4,,0
579,20,,1,33060,359,11422,2,,1
580,18,,4,123701,388,48110,2,,1
581,50,,6,83683,402,13105,4,,0
582,57,,8,199533,312,106920,1,,0
583,27,,0,161383,859,58290,1,,1
584,60,,10,177942,472,41200,1,,0
585,61,,5,149118,691,35318,1,,0
586,46,,2,88054,546,100672,2,,1
587,30,,2,4181,415,130546,4,,1
588,29,,8,67947,765,142991,3,,0
589,48,,10,31258,765,91851,1,,0
590,63,,8,64608,382,67820,1,,0
591,19,,4,159752,634,146151,4,,0
592,68,,7,80629,712,56441,1,,0
593,67,,6,59334,652,134678,3,,0
594,52,,0,175452,514,87147,2,,0
595,40,,3,63001,384,53791,1,,1
596,34,,3,142612,693,144638,2,,1
597,43,,4,122443,489,68183,3,,0
598,25,,9,81761,485,15333,4,,0
599,46,,2,37868,574,144067,4,,1
600,43,,5,60544,775,43609,1,,0
601,27,,5,33048,558,70380,2,,0
602,43,,1,52175,881,71413,1,,1
603,51,,10,104639,451,81329,2,,0
604,68,,9,86097,464,136429,4,,0
605,58,,6,65531,808,128702,3,,0
606,24,,3,105319,470,65634,1,,1
607,21,,3,188339,383,94595,4,,0
608,70,,10,37256,891,114684,3,,0
609,67,,0,27824,659,75956,4,,0
610,62,,5,127281,870,32256,4,,0
611,28,,4,26052,584,95377,2,,0
612,46,,2,151125,859,133171,4,,1
613,53,,3,55140,313,36717,3,,0
614,42,,4,63795,506,67147,4,,0
615,38,,6,148939,393,28404,2,,1
616,53,,5,197727,747,38234,1,,0
617,27,,6,41400,424,47531,4,,1
618,54,,8,19905,314,62505,4,,1
619,26,,5,39940,552,51207,1,,0
620,41,,3,26009,528,10013,4,,0
621,52,,3,69117,485,71498,2,,0
622,66,,4,184463,638,59267,1,,0
623,52,,0,32599,347,85512,2,,1
624,65,,6,9456,557,81828,3,,0
625,53,,3,166268,555,52047,1,,1
626,35,,0,119358,667,102980,2,,0
627,66,,8,178639,536,113553,4,,1
628,56,,7,51943,528,24711,1,,0
629,49,,8,47382,588,56434,3,,0
630,41,,7,198269,614,76457,3,,1
631,40,,9,169597,862,109831,4,,1
632,49,,3,78345,865,103847,4,,0
633,54,,6,169369,478,37065,4,,0
634,29,,0,65966,841,140832,4,,0
635,66,,4,102387,859,19620,4,,1
636,30,,9,189406,300,67419,1,,1
637,40,,9,17597,547,92620,1,,0
638,42,,8,96684,700,14886,1,,0
639,52,,7,167703,486,77349,3,,1
640,58,,8,110300,606,117109,2,,1
641,47,,1,121752,609,90289,3,,1
642,34,,5,84888,808,17882,3,,0
643,66,,1,172783,797,60551,3,,0
644,37,,5,83050,474,83394,3,,0
645,65,,3,90978,680,19746,4,,0
646,42,,4,116745,708,34868,4,,0
647,39,,4,193633,595,89403,1,,1
648,30,,6,97064,348,50909,2,,0
649,36,,4,138319,615,54330,1,,1
650,66,,9,130294,815,111195,4,,1
651,53,,0,55093,547,65349,4,,0
652,29,,5,17913,830,51495,1,,0
653,58,,8,96983,668,111759,3,,0
654,36,,10,192833,806,13143,3,,1
655,29,,6,118857,645,64143,2,,0
656,26,,4,8100,684,134340,3,,0
657,24,,6,161025,653,32749,2,,0
658,45,,3,145504,569,99169,4,,1
659,31,,10,180925,896,81418,4,,0
660,48,,6,147549,848,33583,1,,0
661,69,,6,31086,348,23391,4,,1
662,36,,6,1725,577,106856,3,,0
663,64,,8,67480,323,14062,4,,1
664,33,,0,166525,511,114339,1,,0
665,70,,3,65743,509,46204,1,,0
666,22,,0,24200,727,136343,2,,1
667,52,,8,180276,699,49459,1,,1
668,29,,6,122085,334,79573,1,,1
669,42,,5,45409,848,126554,2,,0
670,69,,0,68734,303,120953,1,,1
671,38,,0,154207,883,137564,3,,1
672,53,,5,70779,316,95188,4,,0
673,70,,2,144561,703,77001,4,,1
674,40,,0,69895,663,41802,3,,0
675,33,,2,158118,310,53392,2,,1
676,56,,3,29100,458,30457,3,,0
677,62,,2,33172,597,49446,4,,0
678,70,,5,106230,835,116740,3,,1
679,59,,5,124331,493,23659,1,,1
680,56,,4,181191,509,65934,4,,1
681,31,,4,36869,635,105148,4,,0
682,48,,4,31125,895,87441,1,,0
683,22,,0,99940,759,145772,3,,0
684,52,,4,166138,478,33929,4,,1
685,40,,6,183542,871,11008,1,,0
686,46,,2,53225,503,79105,3,,0
687,60,,2,147653,767,100252,3,,0
688,28,,8,122753,635,100851,3,,1
689,35,,8,179207,845,18538,3,,1
690,64,,9,103064,573,89648,1,,0
691,29,,10,1863,602,99070,4,,0
692,26,,9,83635,612,101339,2,,0
693,27,,8,13744,501,145759,2,,0
694,61,,6,18145,598,97177,3,,0
